净值日期,单位净值,日增长率
2023-04-06,1.0,0.0
2023-04-07,1.0,0.0
2023-04-14,0.9968,0.0
2023-04-21,0.9978,0.0
2023-04-24,1.0002,0.24
2023-04-25,0.9843,-1.59
2023-04-26,0.9861,0.18
2023-04-27,0.9948,0.88
2023-04-28,0.9989,0.41
2023-05-04,0.9855,-1.34
2023-05-05,0.9938,0.84
2023-05-08,0.9946,0.08
2023-05-09,0.9916,-0.3
2023-05-10,0.9963,0.47
2023-05-11,0.9922,-0.41
2023-05-12,0.9961,0.39
2023-05-15,1.0012,0.51
2023-05-16,0.9933,-0.79
2023-05-17,1.0075,1.43
2023-05-18,1.0195,1.19
2023-05-19,1.0234,0.38
2023-05-22,1.0209,-0.24
2023-05-23,1.0127,-0.8
2023-05-24,1.0091,-0.36
2023-05-25,1.017,0.78
2023-05-26,1.0325,1.52
2023-05-29,1.0325,0.0
2023-05-30,1.0333,0.08
2023-05-31,1.0277,-0.54
2023-06-01,1.0389,1.09
2023-06-02,1.0522,1.28
2023-06-05,1.0498,-0.23
2023-06-06,1.0542,0.42
2023-06-07,1.052,-0.21
2023-06-08,1.0587,0.64
2023-06-09,1.0577,-0.09
2023-06-12,1.0671,0.89
2023-06-13,1.0763,0.86
2023-06-14,1.0782,0.18
2023-06-15,1.0888,0.98
2023-06-16,1.0835,-0.49
2023-06-19,1.0835,0.0
2023-06-20,1.083,-0.05
2023-06-21,1.0799,-0.29
2023-06-26,1.0755,-0.41
2023-06-27,1.087,1.07
2023-06-28,1.0868,-0.02
2023-06-29,1.0921,0.49
2023-06-30,1.1044,1.13
2023-07-03,1.104,-0.04
2023-07-04,1.104,0.0
2023-07-05,1.0997,-0.39
2023-07-06,1.0948,-0.45
2023-07-07,1.0914,-0.31
2023-07-10,1.0916,0.02
2023-07-11,1.0968,0.48
2023-07-12,1.1028,0.55
2023-07-13,1.1083,0.5
2023-07-14,1.1045,-0.34
2023-07-17,1.1085,0.36
2023-07-18,1.1178,0.84
2023-07-19,1.1208,0.27
2023-07-20,1.1131,-0.69
2023-07-21,1.113,-0.01
2023-07-24,1.1169,0.35
2023-07-25,1.1196,0.24
2023-07-26,1.1177,-0.17
2023-07-27,1.112,-0.51
2023-07-28,1.1204,0.76
2023-07-31,1.1214,0.09
2023-08-01,1.1183,-0.28
2023-08-02,1.105,-1.19
2023-08-03,1.1042,-0.07
2023-08-04,1.0979,-0.57
2023-08-07,1.106,0.74
2023-08-08,1.1041,-0.17
2023-08-09,1.097,-0.64
2023-08-10,1.0973,0.03
2023-08-11,1.0964,-0.08
2023-08-14,1.1041,0.7
2023-08-15,1.0936,-0.95
2023-08-16,1.089,-0.42
